"concat";"geo";"priority";"id"
"1-? ???????? ????????, 35";"55.121917, 61.423916";"1";"180"
"1-? ???????? ????????, 36";"55.122133, 61.423844";"1";"181"
"1-? ???????? ????????, 37";"55.121896, 61.423556";"1";"182"
"1-? ???????? ????????, 38";"55.122133, 61.423493";"1";"183"
"1-? ???????? ????????, 39";"55.121896, 61.423062";"1";"184"
"1-? ???????? ????????, 4";"55.12239, 61.429368";"1";"185"
"1-? ???????? ????????, 40";"55.122122, 61.423089";"1";"186"
"1-? ???????? ????????, 42";"55.122076, 61.422658";"1";"187"
"1-? ???????? ????????, 43";"55.121865, 61.422326";"1";"188"
"1-? ???????? ????????, 44";"55.122107, 61.422317";"1";"189"
"1-? ???????? ????????, 46";"55.122045, 61.422056";"1";"190"
"1-? ???????? ????????, 46?";"55.122025, 61.421688";"1";"191"
"1-? ???????? ????????, 48";"55.122025, 61.4214";"1";"192"
"1-? ???????? ????????, 5";"55.122122, 61.429081";"1";"193"
"1-? ???????? ????????, 50";"55.122004, 61.421095";"1";"194"
"1-? ???????? ????????, 51";"55.121798, 61.420879";"1";"195"
"1-? ???????? ????????, 52";"55.122035, 61.420879";"1";"196"
"1-? ???????? ????????, 53";"55.121741, 61.420098";"1";"197"
"1-? ???????? ????????, 54";"55.121978, 61.420457";"1";"198"
"1-? ???????? ????????, 56";"55.121963, 61.420089";"1";"199"
"1-? ???????? ????????, 6";"55.12238, 61.429081";"1";"200"
"1-? ???????? ????????, 7";"55.122102, 61.428748";"1";"201"
"1-? ???????? ????????, 8";"55.122364, 61.428748";"1";"202"
"1-? ???????? ????????, 9";"55.122097, 61.428434";"1";"203"
"1-? ??????????? ????????, 12";"55.192101, 61.451305";"1";"204"
"1-? ??????????? ????????, 13";"55.192014, 61.451799";"1";"205"
"1-? ??????????? ????????, 14";"55.191937, 61.451449";"1";"206"
"1-? ??????????? ????????, 19";"55.191166, 61.452051";"1";"207"
"1-? ??????????? ????????, 21";"55.191223, 61.452329";"1";"208"
"1-? ??????????? ????????, 23";"55.191356, 61.452662";"1";"209"
"1-? ??????????? ????????, 25";"55.19114, 61.452733";"1";"210"
"1-? ??????????? ????????, 27";"55.19093, 61.452913";"1";"211"
"1-? ??????????? ????????, 31";"55.190729, 61.452626";"1";"212"
