===База данных gkh-inform74

== Структура таблицы streets8

|------
|Столбец|Тип|Null|По умолчанию
|------
|**concat**|varchar(50)|Да|NULL
|geo|varchar(25)|Да|NULL
|priority|tinyint(1)|Нет|1
|//**id**//|int(11)|Нет|
== Дамп данных таблицы streets8

|1-й Линейный переулок, 15|55.15929, 61.509633|1|273
|1-й Линейный переулок, 16|55.159594, 61.507612|1|274
|1-й Линейный переулок, 17|55.159542, 61.509552|1|275
|1-й Линейный переулок, 18|55.159815, 61.507665|1|276
|1-й Линейный переулок, 19|55.15966, 61.509561|1|277
|1-й Линейный переулок, 1Б|55.157619, 61.508878|1|278
|1-й Линейный переулок, 20А|55.160164, 61.507288|1|279
|1-й Линейный переулок, 21|55.159789, 61.50957|1|280
|1-й Линейный переулок, 22|55.16, 61.507576|1|281
|1-й Линейный переулок, 23А|55.160113, 61.509705|1|282
|1-й Линейный переулок, 25|55.160854, 61.510154|1|283
|1-й Линейный переулок, 26|55.16253, 61.510567|1|284
|1-й Линейный переулок, 27|55.161003, 61.510082|1|285
|1-й Линейный переулок, 28Б|55.162649, 61.510747|1|286
|1-й Линейный переулок, 2А|55.159501, 61.508357|1|287
|1-й Линейный переулок, 2Б|55.158976, 61.508186|1|288
|1-й Линейный переулок, 2Г|55.159979, 61.508151|1|289
|1-й Линейный переулок, 2Д|55.159856, 61.508106|1|290
|1-й Линейный переулок, 2Ж|55.160545, 61.508708|1|291
|1-й Линейный переулок, 3|55.158138, 61.508663|1|292
|1-й Линейный переулок, 31|55.163307, 61.511393|1|293
|1-й Линейный переулок, 33|55.163708, 61.511798|1|294
|1-й Линейный переулок, 35|55.163939, 61.512148|1|295
|1-й Линейный переулок, 4|55.158323, 61.507216|1|296
|1-й Линейный переулок, 6|55.158544, 61.507288|1|297
|1-й Линейный переулок, 7|55.158421, 61.508797|1|298
|1-й Линейный переулок, 8|55.158848, 61.507468|1|299
|1-й Лобинский переулок, 1|55.16431, 61.526548|1|300
|1-й Лобинский переулок, 10|55.163595, 61.526791|1|301
|1-й Лобинский переулок, 11|55.163538, 61.527276|1|302
|1-й Лобинский переулок, 12|55.16342, 61.52688|1|303
|1-й Лобинский переулок, 13|55.163389, 61.527482|1|304
|1-й Лобинский переулок, 14|55.163271, 61.527087|1|305
|1-й Лобинский переулок, 2|55.164212, 61.526216|1|306
|1-й Лобинский переулок, 2А|55.164402, 61.526009|1|307
|1-й Лобинский переулок, 3|55.164181, 61.526755|1|308
|1-й Лобинский переулок, 4|55.164053, 61.526377|1|309
|1-й Лобинский переулок, 5|55.163996, 61.526934|1|310
|1-й Лобинский переулок, 6|55.163883, 61.526521|1|311
|1-й Лобинский переулок, 7|55.163842, 61.527078|1|312
|1-й Лобинский переулок, 8|55.163754, 61.526656|1|313
|1-й Лобинский переулок, 9|55.163703, 61.527195|1|314
|1-й Маршанский переулок, 1|55.113828, 61.33589|1|315
|1-й Маршанский переулок, 2|55.114029, 61.335458|1|316
|1-й Маршанский переулок, 3|55.113622, 61.335647|1|317
|1-й Маршанский переулок, 4|55.113931, 61.335288|1|318
|1-й Маршанский переулок, 6|55.113776, 61.335126|1|319
|1-й Маршанский переулок, 6А|55.11374, 61.335081|1|320
|1-й Мебельный переулок, 10|55.117633, 61.381273|1|321
|1-й Мебельный переулок, 12|55.117757, 61.38156|1|322
|1-й Мебельный переулок, 14|55.117952, 61.38121|1|323
|1-й Мебельный переулок, 16|55.118065, 61.380859|1|324
|1-й Мебельный переулок, 18|55.118153, 61.380554|1|325
|1-й Мебельный переулок, 2|55.117134, 61.38174|1|326
|1-й Мебельный переулок, 20|55.118029, 61.380401|1|327
|1-й Мебельный переулок, 22|55.117839, 61.38023|1|328
|1-й Мебельный переулок, 22А|55.117664, 61.380653|1|329
|1-й Мебельный переулок, 24|55.117952, 61.379916|1|330
|1-й Мебельный переулок, 26|55.118055, 61.379763|1|331
|1-й Мебельный переулок, 28|55.118174, 61.37953|1|332
|1-й Мебельный переулок, 4|55.117216, 61.381353|1|333
|1-й Мебельный переулок, 6|55.11737, 61.381093|1|334
|1-й Мебельный переулок, 8|55.117448, 61.380895|1|335
|1-й Нарвский переулок, 1|55.192441, 61.475596|1|336
|1-й Нарвский переулок, 10|55.193047, 61.474302|1|337
|1-й Нарвский переулок, 11|55.193186, 61.47273|1|338
|1-й Нарвский переулок, 11А|55.19298, 61.473053|1|339
|1-й Нарвский переулок, 12|55.19336, 61.473026|1|340
|1-й Нарвский переулок, 13|55.193288, 61.472443|1|341
|1-й Нарвский переулок, 14|55.193458, 61.472604|1|342
|1-й Нарвский переулок, 15|55.19335, 61.472101|1|343
|1-й Нарвский переулок, 16|55.193551, 61.472236|1|344
|1-й Нарвский переулок, 17|55.193432, 61.471733|1|345
|1-й Нарвский переулок, 18|55.193648, 61.471904|1|346
|1-й Нарвский переулок, 19|55.19353, 61.471418|1|347
|1-й Нарвский переулок, 2|55.192656, 61.475694|1|348
|1-й Нарвский переулок, 20|55.193751, 61.471526|1|349
|1-й Нарвский переулок, 3|55.192538, 61.475128|1|350
|1-й Нарвский переулок, 4|55.192775, 61.475299|1|351
|1-й Нарвский переулок, 5|55.192641, 61.474787|1|352
|1-й Нарвский переулок, 6|55.192882, 61.474985|1|353
|1-й Нарвский переулок, 7|55.192728, 61.4745|1|354
|1-й Нарвский переулок, 8|55.192949, 61.474652|1|355
|1-й Нарвский переулок, 9|55.192805, 61.474203|1|356
|1-й Норильский переулок, 10|55.166763, 61.524491|1|357
|1-й Норильский переулок, 11|55.166773, 61.523943|1|358
|1-й Норильский переулок, 12|55.166917, 61.524329|1|359
|1-й Норильский переулок, 13|55.166984, 61.523772|1|360
|1-й Норильский переулок, 14|55.167071, 61.524203|1|361
|1-й Норильский переулок, 15|55.167123, 61.523602|1|362
|1-й Норильский переулок, 16|55.167226, 61.524078|1|363
|1-й Норильский переулок, 3|55.166176, 61.524545|1|364
|1-й Норильский переулок, 4|55.166274, 61.524841|1|365
|1-й Норильский переулок, 5|55.16632, 61.524365|1|366
|1-й Норильский переулок, 6|55.166434, 61.52476|1|367
|1-й Норильский переулок, 7|55.166475, 61.524212|1|368
|1-й Норильский переулок, 8|55.166598, 61.524635|1|369
|1-й Норильский переулок, 9|55.166624, 61.524078|1|370
|1-й переулок Вагнера, 1|55.12379, 61.424661|1|371
|1-й переулок Вагнера, 10|55.123976, 61.423287|1|372
|1-й переулок Вагнера, 11|55.123708, 61.422532|1|373
|1-й переулок Вагнера, 12|55.123996, 61.422802|1|374
|1-й переулок Вагнера, 13|55.123677, 61.422146|1|375
|1-й переулок Вагнера, 14|55.123945, 61.422469|1|376
|1-й переулок Вагнера, 15|55.123662, 61.421858|1|377
|1-й переулок Вагнера, 15А|55.123651, 61.421499|1|378
|1-й переулок Вагнера, 16|55.123919, 61.422128|1|379
|1-й переулок Вагнера, 17|55.12361, 61.420529|1|380
|1-й переулок Вагнера, 17А|55.12361, 61.420906|1|381
|1-й переулок Вагнера, 17Б|55.123615, 61.421221|1|382
|1-й переулок Вагнера, 18|55.123929, 61.421787|1|383
|1-й переулок Вагнера, 19|55.12359, 61.420205|1|384
|1-й переулок Вагнера, 2|55.124022, 61.424652|1|385
|1-й переулок Вагнера, 20|55.123899, 61.421463|1|386
|1-й переулок Вагнера, 22|55.123878, 61.421122|1|387
|1-й переулок Вагнера, 24|55.123873, 61.420852|1|388
|1-й переулок Вагнера, 26|55.123857, 61.420493|1|389
|1-й переулок Вагнера, 28|55.123842, 61.420143|1|390
|1-й переулок Вагнера, 3|55.12379, 61.424194|1|391
|1-й переулок Вагнера, 30|55.123821, 61.419801|1|392
|1-й переулок Вагнера, 4|55.123996, 61.424248|1|393
|1-й переулок Вагнера, 5|55.123744, 61.423799|1|394
|1-й переулок Вагнера, 6|55.124001, 61.423907|1|395
|1-й переулок Вагнера, 7|55.123739, 61.423332|1|396
|1-й переулок Вагнера, 8|55.123996, 61.423673|1|397
|1-й переулок Вагнера, 9|55.12361, 61.422838|1|398
|1-й Плотничный переулок, 12|55.163461, 61.476251|1|399
|1-й Плотничный переулок, 16|55.163801, 61.477536|1|400
|1-й Плотничный переулок, 29|55.162103, 61.475434|1|401
|1-й Плотничный переулок, 30|55.162232, 61.475578|1|402
|1-й Плотничный переулок, 34|55.162571, 61.475658|1|403
|1-й Плотничный переулок, 34А|55.163435, 61.475883|1|404
|1-й Плотничный переулок, 35|55.16271, 61.475658|1|405
|1-й Плотничный переулок, 36А|55.162957, 61.474787|1|406
|1-й Плотничный переулок, 37|55.162782, 61.47565|1|407
|1-й Плотничный переулок, 39|55.162962, 61.47565|1|408
|1-й Плотничный переулок, 42|55.163091, 61.475057|1|409
|1-й Плотничный переулок, 44|55.163255, 61.475057|1|410
