===База данных gkh-inform74

== Структура таблицы streets8

|------
|Столбец|Тип|Null|По умолчанию
|------
|**concat**|varchar(50)|Да|NULL
|geo|varchar(25)|Да|NULL
|priority|tinyint(1)|Нет|1
|//**id**//|int(11)|Нет|
== Дамп данных таблицы streets8

|Стартовая улица, 26|55.183313, 61.364654|1|22542
|Стартовая улица, 27|55.181678, 61.366989|1|22543
|Стартовая улица, 29|55.181806, 61.36672|1|22544
|Стартовая улица, 30|55.183544, 61.363935|1|22545
|Стартовая улица, 30А|55.183739, 61.364061|1|22546
|Стартовая улица, 31|55.182012, 61.36619|1|22547
|Стартовая улица, 32|55.183688, 61.363639|1|22548
|Стартовая улица, 33|55.182063, 61.366055|1|22549
|Стартовая улица, 34|55.184202, 61.3631|1|22550
|Стартовая улица, 34/1|55.184556, 61.361806|1|22551
|Стартовая улица, 34/2|55.184484, 61.362489|1|22552
|Стартовая улица, 34/3|55.184042, 61.36186|1|22553
|Стартовая улица, 34/4|55.18377, 61.36257|1|22554
|Стартовая улица, 35|55.182115, 61.365624|1|22555
|Стартовая улица, 36|55.185004, 61.361069|1|22556
|Стартовая улица, 37|55.182382, 61.365318|1|22557
|Стартовая улица, 38|55.185142, 61.3608|1|22558
|Стартовая улица, 39|55.182475, 61.364986|1|22559
|Стартовая улица, 4|55.181698, 61.36857|1|22560
|Стартовая улица, 40|55.18525, 61.360494|1|22561
|Стартовая улица, 41|55.182644, 61.364681|1|22562
|Стартовая улица, 42|55.185456, 61.360108|1|22563
|Стартовая улица, 43|55.182799, 61.364196|1|22564
|Стартовая улица, 44|55.185641, 61.359812|1|22565
|Стартовая улица, 45|55.182958, 61.363872|1|22566
|Стартовая улица, 46|55.185698, 61.359416|1|22567
|Стартовая улица, 47|55.183076, 61.363612|1|22568
|Стартовая улица, 48|55.185862, 61.358994|1|22569
|Стартовая улица, 49|55.183169, 61.363324|1|22570
|Стартовая улица, 50|55.18598, 61.358707|1|22571
|Стартовая улица, 51|55.183307, 61.36301|1|22572
|Стартовая улица, 51А|55.183549, 61.362264|1|22573
|Стартовая улица, 51Б|55.183724, 61.36177|1|22574
|Стартовая улица, 51В|55.183909, 61.361312|1|22575
|Стартовая улица, 52|55.186114, 61.358365|1|22576
|Стартовая улица, 53|55.184706, 61.361222|1|22577
|Стартовая улица, 55|55.184875, 61.360719|1|22578
|Стартовая улица, 57|55.185004, 61.360387|1|22579
|Стартовая улица, 59|55.185209, 61.359866|1|22580
|Стартовая улица, 6|55.181873, 61.368256|1|22581
|Стартовая улица, 61|55.185379, 61.359524|1|22582
|Стартовая улица, 63|55.185569, 61.358967|1|22583
|Стартовая улица, 65|55.185718, 61.358617|1|22584
|Стартовая улица, 67|55.185924, 61.358114|1|22585
|Стартовая улица, 8|55.182099, 61.36813|1|22586
|Стартовая улица, 9|55.179791, 61.371104|1|22587
|Степная улица, 1|55.135392, 61.515813|1|22588
|Степная улица, 10|55.134795, 61.514052|1|22589
|Степная улица, 11|55.134347, 61.515625|1|22590
|Степная улица, 12|55.134558, 61.51407|1|22591
|Степная улица, 14|55.134342, 61.514061|1|22592
|Степная улица, 15А|55.133684, 61.5146|1|22593
|Степная улица, 18|55.132834, 61.514753|1|22594
|Степная улица, 19|55.132407, 61.515526|1|22595
|Степная улица, 20|55.132443, 61.514385|1|22596
|Степная улица, 21|55.132206, 61.515499|1|22597
|Степная улица, 22|55.132268, 61.514529|1|22598
|Степная улица, 23|55.13198, 61.515499|1|22599
|Степная улица, 24|55.132098, 61.514654|1|22600
|Степная улица, 25|55.131769, 61.515472|1|22601
|Степная улица, 26|55.131949, 61.514789|1|22602
|Степная улица, 28|55.1318, 61.514888|1|22603
|Степная улица, 3|55.135155, 61.515607|1|22604
|Степная улица, 32|55.135233, 61.515157|1|22605
|Степная улица, 34|55.134728, 61.515238|1|22606
|Степная улица, 4Б|55.134311, 61.515166|1|22607
|Степная улица, 5|55.134965, 61.515607|1|22608
|Степная улица, 6|55.134975, 61.514717|1|22609
|Степная улица, 7|55.1348, 61.515625|1|22610
|Степная улица, 8|55.13497, 61.514367|1|22611
|Степная улица, 9|55.134461, 61.515508|1|22612
|Столбовая улица, 11|55.116809, 61.357575|1|22613
|Столбовая улица, 13|55.116608, 61.357386|1|22614
|Столбовая улица, 15|55.115934, 61.356784|1|22615
|Столбовая улица, 16|55.116413, 61.356578|1|22616
|Столбовая улица, 17|55.115754, 61.356398|1|22617
|Столбовая улица, 18|55.116222, 61.356443|1|22618
|Столбовая улица, 19|55.115326, 61.356254|1|22619
|Столбовая улица, 20|55.115785, 61.356057|1|22620
|Столбовая улица, 20А|55.115666, 61.355482|1|22621
|Столбовая улица, 21|55.115115, 61.35612|1|22622
|Столбовая улица, 22|55.11529, 61.355527|1|22623
|Столбовая улица, 22А|55.11545, 61.355671|1|22624
|Столбовая улица, 23|55.114966, 61.355931|1|22625
|Столбовая улица, 24|55.115023, 61.355383|1|22626
|Столбовая улица, 25|55.114827, 61.355787|1|22627
|Столбовая улица, 26|55.114698, 61.355105|1|22628
|Столбовая улица, 27|55.114605, 61.35559|1|22629
|Столбовая улица, 30|55.113921, 61.354081|1|22630
|Столбовая улица, 9|55.117072, 61.357746|1|22631
|Стрелковая улица, 1|55.127116, 61.405581|1|22632
|Стрелковая улица, 12|55.124485, 61.403533|1|22633
|Стрелковая улица, 12/1|55.125283, 61.40303|1|22634
|Стрелковая улица, 15|55.124954, 61.405186|1|22635
|Стрелковая улица, 16|55.124655, 61.404907|1|22636
|Стрелковая улица, 18|55.124537, 61.404907|1|22637
|Стрелковая улица, 19|55.124367, 61.404853|1|22638
|Стрелковая улица, 2|55.127023, 61.405662|1|22639
|Стрелковая улица, 24|55.124022, 61.404979|1|22640
|Стрелковая улица, 29|55.125458, 61.404683|1|22641
|Стрелковая улица, 29А|55.125505, 61.40435|1|22642
|Стрелковая улица, 2А|55.12692, 61.405689|1|22643
|Стрелковая улица, 3|55.126467, 61.405284|1|22644
|Стрелковая улица, 30|55.125433, 61.403919|1|22645
|Стрелковая улица, 32|55.125762, 61.404889|1|22646
|Стрелковая улица, 32А|55.125922, 61.404449|1|22647
|Стрелковая улица, 32Б|55.125711, 61.404449|1|22648
|Стрелковая улица, 33|55.125999, 61.404027|1|22649
|Стрелковая улица, 35|55.126164, 61.404395|1|22650
|Стрелковая улица, 37|55.123363, 61.404404|1|22651
|Стрелковая улица, 37А|55.119059, 61.406803|1|22652
|Стрелковая улица, 38|55.126297, 61.403964|1|22653
|Стрелковая улица, 4|55.126261, 61.405545|1|22654
|Стрелковая улица, 40|55.126205, 61.403757|1|22655
|Стрелковая улица, 41|55.125896, 61.403578|1|22656
|Стрелковая улица, 41А|55.125865, 61.403353|1|22657
|Стрелковая улица, 43|55.125695, 61.402814|1|22658
|Стрелковая улица, 46|55.126035, 61.402922|1|22659
|Стрелковая улица, 5|55.126261, 61.405204|1|22660
|Стрелковая улица, 5Б|55.126117, 61.405186|1|22661
|Стрелковая улица, 6|55.126122, 61.405572|1|22662
|Стрелковая улица, 7|55.126112, 61.404799|1|22663
|Стрелковая улица, 8|55.125901, 61.405356|1|22664
|Стрелковая улица, 9|55.125711, 61.405805|1|22665
|Строительная улица, 11|55.251408, 61.413944|1|22666
|Строительная улица, 11к1|55.252496, 61.41495|1|22667
|Строительная улица, 11К2|55.251834, 61.415516|1|22668
|Строительная улица, 11к3|55.251105, 61.415831|1|22669
|Строительная улица, 13|55.25011, 61.415489|1|22670
|Строительная улица, 21|55.250331, 61.418238|1|22671
|Строительная улица, 21/1|55.250767, 61.418544|1|22672
|Строительная улица, 23|55.24739, 61.419136|1|22673
|Строительная улица, 25|55.248165, 61.417834|1|22674
|Строительная улица, 25/2|55.24681, 61.423628|1|22675
|Строительная улица, 25/3|55.249202, 61.419801|1|22676
|Строительная улица, 25/5|55.246466, 61.423421|1|22677
|Строительная улица, 25А|55.245389, 61.425919|1|22678
|Строительная улица, 3|55.252968, 61.411573|1|22679
|Стройгородок 2|55.154558, 61.527824|1|22680
|Стройгородок 2, 1|55.151898, 61.526422|1|22681
|Стройгородок 2, 2|55.151117, 61.526395|1|22682
|Стройгородок 2, 3|55.149964, 61.526359|1|22683
|Стройгородок 2, 4|55.14947, 61.526341|1|22684
|Стройгородок 2, 5|55.151981, 61.527096|1|22685
|Стройгородок 2, 6|55.151893, 61.525919|1|22686
|Стройгородок 2, 7|55.151981, 61.527833|1|22687
|Стройгородок 2, 8|55.151343, 61.52768|1|22688
|Сухомесово, 180|55.063638, 61.481893|1|22689
|Сухомесово, 181|55.063504, 61.482099|1|22690
|Сухомесово, 183|55.063241, 61.482585|1|22691
|Сухомесово, 192|55.063689, 61.482665|1|22692
|Сухомесово, Адлерская улица, 1|55.064803, 61.484902|1|22693
|Сухомесово, Адлерская улица, 10|55.06654, 61.485172|1|22694
|Сухомесово, Адлерская улица, 11|55.066499, 61.484597|1|22695
|Сухомесово, Адлерская улица, 12|55.06704, 61.485226|1|22696
|Сухомесово, Адлерская улица, 13|55.066855, 61.48466|1|22697
|Сухомесово, Адлерская улица, 14|55.067169, 61.485127|1|22698
|Сухомесово, Адлерская улица, 16|55.067618, 61.485567|1|22699
|Сухомесово, Адлерская улица, 17|55.067061, 61.484579|1|22700
|Сухомесово, Адлерская улица, 18|55.068118, 61.484929|1|22701
|Сухомесово, Адлерская улица, 19|55.067649, 61.484543|1|22702
|Сухомесово, Адлерская улица, 2|55.064932, 61.485477|1|22703
|Сухомесово, Адлерская улица, 20|55.068489, 61.484866|1|22704
|Сухомесово, Адлерская улица, 21|55.067953, 61.484579|1|22705
|Сухомесово, Адлерская улица, 22|55.068587, 61.484857|1|22706
|Сухомесово, Адлерская улица, 23|55.068247, 61.484444|1|22707
|Сухомесово, Адлерская улица, 24|55.068958, 61.485118|1|22708
|Сухомесово, Адлерская улица, 25|55.068515, 61.484426|1|22709
|Сухомесово, Адлерская улица, 26|55.069242, 61.484749|1|22710
|Сухомесово, Адлерская улица, 27|55.068906, 61.484246|1|22711
|Сухомесово, Адлерская улица, 27А|55.069092, 61.484255|1|22712
|Сухомесово, Адлерская улица, 28|55.06935, 61.484722|1|22713
|Сухомесово, Адлерская улица, 29|55.069577, 61.4843|1|22714
|Сухомесово, Адлерская улица, 3|55.065128, 61.484884|1|22715
|Сухомесово, Адлерская улица, 30|55.06969, 61.484696|1|22716
|Сухомесово, Адлерская улица, 31|55.069803, 61.484219|1|22717
|Сухомесово, Адлерская улица, 32|55.070066, 61.48457|1|22718
|Сухомесово, Адлерская улица, 33|55.070113, 61.484112|1|22719
|Сухомесово, Адлерская улица, 34А|55.07037, 61.484561|1|22720
|Сухомесово, Адлерская улица, 35|55.070381, 61.484121|1|22721
|Сухомесово, Адлерская улица, 36|55.070669, 61.484579|1|22722
|Сухомесово, Адлерская улица, 37|55.070917, 61.483788|1|22723
|Сухомесово, Адлерская улица, 38|55.071149, 61.484453|1|22724
|Сухомесово, Адлерская улица, 39|55.071169, 61.483671|1|22725
|Сухомесово, Адлерская улица, 4|55.065396, 61.485432|1|22726
|Сухомесово, Адлерская улица, 40|55.071422, 61.484345|1|22727
|Сухомесово, Адлерская улица, 41|55.071314, 61.483914|1|22728
|Сухомесово, Адлерская улица, 42|55.071778, 61.484309|1|22729
|Сухомесово, Адлерская улица, 43|55.071633, 61.483905|1|22730
|Сухомесово, Адлерская улица, 44|55.072035, 61.484237|1|22731
|Сухомесово, Адлерская улица, 45|55.071968, 61.483528|1|22732
|Сухомесово, Адлерская улица, 46|55.072422, 61.484157|1|22733
|Сухомесово, Адлерская улица, 47|55.071994, 61.483824|1|22734
|Сухомесово, Адлерская улица, 49|55.072247, 61.483833|1|22735
|Сухомесово, Адлерская улица, 4А|55.065684, 61.485333|1|22736
|Сухомесово, Адлерская улица, 50|55.073061, 61.484192|1|22737
|Сухомесово, Адлерская улица, 52|55.073236, 61.484246|1|22738
|Сухомесово, Адлерская улица, 54|55.073448, 61.4843|1|22739
|Сухомесово, Адлерская улица, 58|55.073757, 61.48404|1|22740
|Сухомесово, Адлерская улица, 6|55.065901, 61.485297|1|22741
|Сухомесово, Адлерская улица, 61|55.073793, 61.483537|1|22742
|Сухомесово, Адлерская улица, 63|55.073927, 61.483483|1|22743
|Свердловский тракт, 10к6|55.230287, 61.365318|1|22744
|Свердловский тракт, 10к7|55.230662, 61.367753|1|22745
|Свердловский тракт, 10к8|55.231298, 61.366576|1|22746
|Свердловский тракт, 10к9|55.231001, 61.365336|1|22747
|Свердловский тракт, 11|55.202347, 61.387058|1|22748
|Свердловский тракт, 11А|55.201397, 61.388854|1|22749
|Свердловский тракт, 11Б|55.201335, 61.39013|1|22750
|Свердловский тракт, 11Б/1|55.201027, 61.390247|1|22751
|Свердловский тракт, 11Б/2|55.20059, 61.390094|1|22752
|Свердловский тракт, 11В|55.201227, 61.387345|1|22753
|Свердловский тракт, 12А/4|55.226493, 61.370753|1|22754
|Свердловский тракт, 12Ас1|55.228752, 61.365696|1|22755
|Свердловский тракт, 12Ас2|55.228208, 61.366298|1|22756
|Свердловский тракт, 12Ас3|55.227478, 61.366199|1|22757
|Свердловский тракт, 12Б|55.225188, 61.373799|1|22758
|Свердловский тракт, 12Бк1|55.225769, 61.370663|1|22759
|Свердловский тракт, 12Бк2|55.225589, 61.370834|1|22760
|Свердловский тракт, 12В|55.224346, 61.374805|1|22761
|Свердловский тракт, 12к1|55.229527, 61.367699|1|22762
|Свердловский тракт, 12к2|55.229429, 61.371104|1|22763
|Свердловский тракт, 12к3|55.229137, 61.36681|1|22764
|Свердловский тракт, 12к4|55.229255, 61.366262|1|22765
|Свердловский тракт, 12к5|55.228223, 61.367304|1|22766
|Свердловский тракт, 12к6|55.228762, 61.366378|1|22767
|Свердловский тракт, 13|55.200734, 61.38766|1|22768
|Свердловский тракт, 13А|55.200215, 61.388917|1|22769
|Свердловский тракт, 14|55.229024, 61.371598|1|22770
|Свердловский тракт, 14/1|55.228685, 61.370394|1|22771
|Свердловский тракт, 14А|55.218107, 61.372424|1|22772
|Свердловский тракт, 14Б|55.230215, 61.370115|1|22773
|Свердловский тракт, 14В|55.230256, 61.370717|1|22774
|Свердловский тракт, 15|55.199254, 61.3881|1|22775
|Свердловский тракт, 15/2|55.200241, 61.388306|1|22776
|Свердловский тракт, 15А|55.19818, 61.386779|1|22777
|Свердловский тракт, 15Б|55.199342, 61.387318|1|22778
|Свердловский тракт, 15к1|55.22886, 61.368211|1|22779
|Свердловский тракт, 16|55.225476, 61.375829|1|22780
|Свердловский тракт, 16А|55.218359, 61.374032|1|22781
|Свердловский тракт, 16Б|55.224223, 61.376368|1|22782
|Свердловский тракт, 17А|55.198252, 61.390462|1|22783
|Свердловский тракт, 17Б|55.198309, 61.391064|1|22784
|Свердловский тракт, 17В|55.198689, 61.392016|1|22785
|Свердловский тракт, 18|55.218287, 61.378667|1|22786
|Свердловский тракт, 18А|55.217562, 61.379647|1|22787
|Свердловский тракт, 18Б|55.219093, 61.377841|1|22788
|Свердловский тракт, 18В|55.21859, 61.378479|1|22789
|Свердловский тракт, 1А|55.204274, 61.387462|1|22790
|Свердловский тракт, 1А/2|55.204161, 61.386078|1|22791
|Свердловский тракт, 1А/3|55.203868, 61.386195|1|22792
|Свердловский тракт, 1А/4|55.203226, 61.387291|1|22793
|Свердловский тракт, 1АС1|55.243151, 61.361087|1|22794
|Свердловский тракт, 1Б|55.236109, 61.366477|1|22795
|Свердловский тракт, 1Б/4|55.235616, 61.365857|1|22796
|Свердловский тракт, 1Бк1|55.236458, 61.365741|1|22797
|Свердловский тракт, 1Бк3|55.235811, 61.365193|1|22798
|Свердловский тракт, 1Г|55.238655, 61.362911|1|22799
|Свердловский тракт, 1Гк1|55.237602, 61.364115|1|22800
|Свердловский тракт, 1Гк2|55.237294, 61.36451|1|22801
|Свердловский тракт, 1Гк3|55.241709, 61.361671|1|22802
|Свердловский тракт, 1Ж|55.234918, 61.369433|1|22803
|Свердловский тракт, 1Ж/3|55.235251, 61.368427|1|22804
|Свердловский тракт, 1Ж/4|55.233834, 61.369639|1|22805
|Свердловский тракт, 1Ж/5|55.233942, 61.369397|1|22806
|Свердловский тракт, 1Жк1|55.23481, 61.368346|1|22807
|Свердловский тракт, 1Жк2|55.234687, 61.368624|1|22808
|Свердловский тракт, 1Жк3|55.234563, 61.368903|1|22809
|Свердловский тракт, 1Жк4|55.234435, 61.369181|1|22810
|Свердловский тракт, 1Жк5|55.234296, 61.369442|1|22811
|Свердловский тракт, 1З|55.233521, 61.371822|1|22812
|Свердловский тракт, 1Н|55.230169, 61.373592|1|22813
|Свердловский тракт, 1Н/1|55.229347, 61.373502|1|22814
|Свердловский тракт, 2|55.249037, 61.355024|1|22815
|Свердловский тракт, 2/1|55.256683, 61.348268|1|22816
|Свердловский тракт, 2/3|55.256473, 61.34693|1|22817
|Свердловский тракт, 20|55.216684, 61.380006|1|22818
|Свердловский тракт, 22В|55.215832, 61.380527|1|22819
|Свердловский тракт, 23А|55.199809, 61.390929|1|22820
|Свердловский тракт, 23А/1|55.200852, 61.392681|1|22821
|Свердловский тракт, 24|55.205728, 61.38253|1|22822
|Свердловский тракт, 24А|55.216427, 61.375505|1|22823
|Свердловский тракт, 24А/1|55.21671, 61.377006|1|22824
|Свердловский тракт, 24Б/1|55.217922, 61.374571|1|22825
|Свердловский тракт, 24Д|55.214707, 61.37334|1|22826
|Свердловский тракт, 24К|55.214352, 61.370915|1|22827
|Свердловский тракт, 25А|55.199624, 61.392987|1|22828
|Свердловский тракт, 25А/1|55.19966, 61.393975|1|22829
|Свердловский тракт, 25А/2|55.199444, 61.393777|1|22830
|Свердловский тракт, 25А/3|55.19927, 61.393912|1|22831
|Свердловский тракт, 28А|55.199974, 61.37829|1|22832
|Свердловский тракт, 28А/1|55.19909, 61.377859|1|22833
|Свердловский тракт, 28А/2|55.198823, 61.380895|1|22834
|Свердловский тракт, 28А/3|55.20038, 61.378317|1|22835
|Свердловский тракт, 28А/4|55.199352, 61.378883|1|22836
|Свердловский тракт, 28А/5|55.199717, 61.379718|1|22837
|Свердловский тракт, 28А/6|55.200508, 61.379682|1|22838
|Свердловский тракт, 28А/7|55.198509, 61.378155|1|22839
|Свердловский тракт, 2Б|55.254271, 61.35188|1|22840
|Свердловский тракт, 2Д|55.252907, 61.353577|1|22841
|Свердловский тракт, 3|55.225923, 61.377455|1|22842
|Свердловский тракт, 3/1|55.218774, 61.381003|1|22843
|Свердловский тракт, 3/2|55.21841, 61.381237|1|22844
|Свердловский тракт, 3/3|55.217516, 61.38147|1|22845
|Свердловский тракт, 33А|55.199845, 61.39569|1|22846
|Свердловский тракт, 34|55.201232, 61.381066|1|22847
|Свердловский тракт, 34с1|55.201397, 61.382297|1|22848
|Свердловский тракт, 34с3|55.202517, 61.380751|1|22849
|Свердловский тракт, 34с4|55.202692, 61.381551|1|22850
|Свердловский тракт, 34с5|55.201741, 61.382692|1|22851
|Свердловский тракт, 34с6|55.202887, 61.380617|1|22852
|Свердловский тракт, 34с7|55.202317, 61.38129|1|22853
|Свердловский тракт, 34с8|55.201777, 61.380644|1|22854
|Свердловский тракт, 38|55.199439, 61.382081|1|22855
|Свердловский тракт, 38/1|55.199285, 61.384012|1|22856
|Свердловский тракт, 38/2|55.200744, 61.382458|1|22857
|Свердловский тракт, 38/3|55.198735, 61.384246|1|22858
|Свердловский тракт, 38/5|55.19779, 61.37652|1|22859
|Свердловский тракт, 38к1|55.198093, 61.382117|1|22860
|Свердловский тракт, 38к3|55.197358, 61.382818|1|22861
|Свердловский тракт, 38к4|55.197692, 61.383446|1|22862
|Свердловский тракт, 38к6|55.197821, 61.384363|1|22863
|Свердловский тракт, 39|55.236442, 61.362022|1|22864
|Свердловский тракт, 3А|55.216356, 61.378506|1|22865
|Свердловский тракт, 3А/3|55.216232, 61.377922|1|22866
|Свердловский тракт, 3А/4|55.216402, 61.379027|1|22867
|Свердловский тракт, 3А/6|55.216499, 61.377491|1|22868
|Свердловский тракт, 3А/7|55.216181, 61.376673|1|22869
|Свердловский тракт, 3Ак1|55.220901, 61.382737|1|22870
|Свердловский тракт, 3Ак2|55.220048, 61.383204|1|22871
|Свердловский тракт, 3Б|55.218662, 61.38315|1|22872
|Свердловский тракт, 3Б/1|55.218533, 61.382243|1|22873
|Свердловский тракт, 3Б/3|55.218944, 61.383797|1|22874
|Свердловский тракт, 3Б/4|55.21935, 61.384435|1|22875
|Свердловский тракт, 3Б/5|55.219529, 61.385081|1|22876
|Сухомесово, Кольцевой переулок, 17|55.074025, 61.482477|1|22877
|Сухомесово, Кольцевой переулок, 18|55.074566, 61.478003|1|22878
|Сухомесово, Кольцевой переулок, 2|55.075303, 61.483034|1|22879
|Сухомесово, Кольцевой переулок, 20|55.074788, 61.477329|1|22880
|Сухомесово, Кольцевой переулок, 21|55.074051, 61.483106|1|22881
|Сухомесово, Кольцевой переулок, 22|55.074772, 61.476925|1|22882
|Сухомесово, Кольцевой переулок, 29|55.07403, 61.484049|1|22883
|Сухомесово, Кольцевой переулок, 3|55.074133, 61.479234|1|22884
|Сухомесово, Кольцевой переулок, 4|55.074628, 61.482764|1|22885
|Сухомесово, Кольцевой переулок, 5|55.074128, 61.478946|1|22886
|Сухомесово, Кольцевой переулок, 6|55.074479, 61.480491|1|22887
|Сухомесово, Кольцевой переулок, 6А|55.074541, 61.481048|1|22888
|Сухомесово, Кольцевой переулок, 7|55.0742, 61.478264|1|22889
|Сухомесово, Кольцевой переулок, 8|55.074474, 61.480276|1|22890
|Сухомесово, Местная улица, 87|55.071293, 61.489079|1|22891
|Сухомесово, Местная улица, 94|55.07035, 61.49058|1|22892
|Сухомесово, Облепиховая улица, 1|55.077473, 61.478237|1|22893
|Сухомесово, Облепиховая улица, 10|55.078035, 61.479198|1|22894
|Сухомесово, Облепиховая улица, 14|55.07854, 61.479126|1|22895
|Сухомесово, Облепиховая улица, 2|55.077303, 61.478982|1|22896
|Сухомесово, Облепиховая улица, 3|55.077839, 61.478264|1|22897
|Сухомесово, Облепиховая улица, 4|55.077494, 61.478874|1|22898
|Сухомесово, Облепиховая улица, 6|55.077736, 61.478892|1|22899
|Сухомесово, Облепиховая улица, 8|55.077849, 61.478901|1|22900
|Сухомесово, Пшеничная улица, 16|55.069097, 61.490544|1|22901
|Сухомесово, Пшеничная улица, 2|55.068241, 61.489124|1|22902
|Сухомесово, Пшеничная улица, 3|55.068757, 61.489142|1|22903
|Сухомесово, Пшеничная улица, 4|55.06835, 61.489322|1|22904
|Сухомесово, Пшеничная улица, 6|55.068453, 61.489573|1|22905
|Сухомесово, Пшеничная улица, 7|55.069056, 61.489681|1|22906
|Сухомесово, Рельефная улица, 1|55.069479, 61.491765|1|22907
|Сухомесово, Рельефная улица, 11|55.069432, 61.490014|1|22908
|Сухомесово, Рельефная улица, 7|55.069499, 61.490858|1|22909
|Сухомесово, Рудная улица, 10|55.065143, 61.480662|1|22910
|Сухомесово, Рудная улица, 10А|55.065282, 61.480707|1|22911
|Сухомесово, Рудная улица, 11|55.064602, 61.479764|1|22912
|Сухомесово, Рудная улица, 11А|55.06536, 61.480258|1|22913
|Сухомесово, Рудная улица, 12|55.065519, 61.480968|1|22914
|Сухомесово, Рудная улица, 13|55.066272, 61.480195|1|22915
|Сухомесово, Рудная улица, 14|55.065819, 61.480725|1|22916
|Сухомесово, Рудная улица, 15|55.066762, 61.48006|1|22917
|Сухомесово, Рудная улица, 15А|55.066509, 61.479782|1|22918
|Сухомесово, Рудная улица, 16|55.065994, 61.480689|1|22919
|Сухомесово, Рудная улица, 17|55.067339, 61.480024|1|22920
|Сухомесово, Рудная улица, 18|55.066339, 61.480626|1|22921
|Сухомесово, Рудная улица, 19|55.067757, 61.480105|1|22922
|Сухомесово, Рудная улица, 1А|55.062034, 61.478326|1|22923
|Сухомесово, Рудная улица, 1Б|55.061926, 61.477922|1|22924
|Сухомесово, Рудная улица, 1В|55.062333, 61.478425|1|22925
|Сухомесово, Рудная улица, 1Г|55.062529, 61.478596|1|22926
|Сухомесово, Рудная улица, 1Ж|55.062643, 61.478731|1|22927
|Сухомесово, Рудная улица, 2|55.063024, 61.480231|1|22928
|Сухомесово, Рудная улица, 20|55.066535, 61.480554|1|22929
|Сухомесово, Рудная улица, 21|55.068092, 61.479988|1|22930
|Сухомесово, Рудная улица, 22|55.066777, 61.480599|1|22931
|Сухомесово, Рудная улица, 23|55.069659, 61.480132|1|22932
|Сухомесово, Рудная улица, 23А|55.069809, 61.480096|1|22933
|Сухомесово, Рудная улица, 24|55.067138, 61.4805|1|22934
|Сухомесово, Рудная улица, 24А|55.06752, 61.480554|1|22935
|Сухомесово, Рудная улица, 25|55.072056, 61.479683|1|22936
|Сухомесово, Рудная улица, 25А|55.072159, 61.479566|1|22937
|Сухомесово, Рудная улица, 26|55.068546, 61.480438|1|22938
|Сухомесово, Рудная улица, 26Б|55.068339, 61.480554|1|22939
|Сухомесово, Рудная улица, 28|55.068783, 61.480581|1|22940
|Сухомесово, Рудная улица, 2А|55.061544, 61.479072|1|22941
|Сухомесово, Рудная улица, 3|55.063473, 61.479692|1|22942
|Сухомесово, Рудная улица, 30|55.069984, 61.480599|1|22943
|Сухомесово, Рудная улица, 32|55.070314, 61.480626|1|22944
|Сухомесово, Рудная улица, 36|55.070623, 61.480725|1|22945
|Сухомесово, Рудная улица, 38|55.071304, 61.480554|1|22946
|Сухомесово, Рудная улица, 38А|55.071154, 61.48059|1|22947
|Сухомесово, Рудная улица, 4|55.063416, 61.480357|1|22948
|Сухомесово, Рудная улица, 44|55.072242, 61.480276|1|22949
|Сухомесово, Рудная улица, 46|55.072365, 61.479943|1|22950
|Сухомесово, Рудная улица, 5А|55.061354, 61.478497|1|22951
|Сухомесово, Рудная улица, 6|55.063751, 61.480491|1|22952
|Сухомесово, Рудная улица, 6А|55.061271, 61.47874|1|22953
|Сухомесово, Рудная улица, 7|55.064236, 61.479629|1|22954
|Сухомесово, Рудная улица, 8А|55.064875, 61.480797|1|22955
|Сухомесово, Рудная улица, 9|55.064385, 61.47962|1|22956
|Сухомесово, Сухомесовская улица, 1|55.068406, 61.486259|1|22957
|Сухомесово, Сухомесовская улица, 10|55.069051, 61.487013|1|22958
|Сухомесово, Сухомесовская улица, 11|55.070628, 61.486268|1|22959
|Сухомесово, Сухомесовская улица, 12|55.069293, 61.486878|1|22960
|Сухомесово, Сухомесовская улица, 13|55.071329, 61.486133|1|22961
|Сухомесово, Сухомесовская улица, 14|55.069556, 61.487139|1|22962
|Сухомесово, Сухомесовская улица, 15|55.071793, 61.485962|1|22963
|Сухомесово, Сухомесовская улица, 16|55.069788, 61.486852|1|22964
|Сухомесово, Сухомесовская улица, 18|55.070551, 61.486825|1|22965
|Сухомесово, Сухомесовская улица, 1А|55.067819, 61.486366|1|22966
|Сухомесово, Сухомесовская улица, 1Б|55.067587, 61.48633|1|22967
|Сухомесово, Сухомесовская улица, 1В|55.066839, 61.486501|1|22968
|Сухомесово, Сухомесовская улица, 2|55.067741, 61.487076|1|22969
|Сухомесово, Сухомесовская улица, 20|55.070742, 61.486735|1|22970
|Сухомесово, Сухомесовская улица, 21|55.072788, 61.485702|1|22971
|Сухомесово, Сухомесовская улица, 22|55.070917, 61.486645|1|22972
|Сухомесово, Сухомесовская улица, 23|55.0732, 61.485585|1|22973
|Сухомесово, Сухомесовская улица, 24|55.071195, 61.486672|1|22974
|Сухомесово, Сухомесовская улица, 25|55.073376, 61.485513|1|22975
|Сухомесово, Сухомесовская улица, 26|55.071582, 61.486501|1|22976
|Сухомесово, Сухомесовская улица, 27|55.073572, 61.485468|1|22977
|Сухомесово, Сухомесовская улица, 28|55.071901, 61.486447|1|22978
|Сухомесово, Сухомесовская улица, 29/1|55.073736, 61.485504|1|22979
